"id","mc","style","duration_1","duration_2","duration_3","interviewer","language","deviations/notes","stage","detail","interview","activity","critical","start_slope","end_slope"
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st5",1,1,4,1,1,3
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st1",5,2,0,0,0,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st2",1,2,1,0,1,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st3",1,2,2,0,2,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st4",2,2,3,1,2,1
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st5",1,2,4,1,2,2
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st1",0,0,0,0,0,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st2",1,0,1,0,0,1
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st3",0,0,2,0,0,2
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st4",1,0,3,1,0,3
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st5",0,0,4,1,0,4
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st1",0,1,0,0,0,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st2",1,1,1,0,1,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st3",0,1,2,0,1,1
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st4",1,1,3,1,1,2
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st5",0,1,4,1,1,3
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st1",0,2,0,0,0,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st2",1,2,1,0,1,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st3",0,2,2,0,2,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st4",1,2,3,1,2,1
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st5",0,2,4,1,2,2
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st1",4,0,0,0,0,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st2",0,0,1,0,0,1
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st3",1,0,2,0,0,2
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st4",2,0,3,1,0,3
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st5",0,0,4,1,0,4
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st1",4,1,0,0,0,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st2",0,1,1,0,1,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st3",1,1,2,0,1,1
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st4",2,1,3,1,1,2
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st5",1,1,4,1,1,3
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st1",NA,2,0,0,0,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st2",NA,2,1,0,1,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st3",NA,2,2,0,2,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st4",NA,2,3,1,2,1
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st5",NA,2,4,1,2,2
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int1_st1",1,0,0,0,0,0
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int1_st2",1,0,1,0,0,1
